id,store_id,date,sales,lag_7,lag_28,dayofweek,month,is_event,rolling_mean_7,rolling_std_7,price_norm,price_change
FOODS_1_176_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.8571428571428571,0.8997354108424372,0.8534482758620691,0.0
FOODS_1_177_CA_1_validation,CA_1,2011-03-31,0,1.0,1.0,3,3,0,0.8571428571428571,1.4638501094227998,0.8875278396436524,0.0
FOODS_1_178_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.8987975951903808,0.0
FOODS_1_180_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.7142857142857143,0.9511897312113418,0.8906720160481445,0.0
FOODS_1_183_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.14285714285714285,0.3779644730092193,0.9664429530201342,0.0
FOODS_1_185_CA_1_validation,CA_1,2011-03-31,2,1.0,0.0,3,3,0,1.7142857142857142,1.2535663410560174,0.8771929824561404,0.0
FOODS_1_187_CA_1_validation,CA_1,2011-03-31,0,1.0,1.0,3,3,0,0.5714285714285714,0.5345224838248487,0.7985971943887775,0.0
FOODS_1_192_CA_1_validation,CA_1,2011-03-31,0,1.0,1.0,3,3,0,1.8571428571428572,1.345185418269098,0.8880597014925372,0.0
FOODS_1_194_CA_1_validation,CA_1,2011-03-31,4,3.0,8.0,3,3,0,3.2857142857142856,2.138089935299394,0.8168724279835391,0.0
FOODS_1_195_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.9732142857142857,0.0
FOODS_1_196_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,1.1428571428571428,1.864454471471609,0.985,0.0
FOODS_1_197_CA_1_validation,CA_1,2011-03-31,4,1.0,2.0,3,3,0,3.2857142857142856,1.889822365046136,0.7518939393939394,0.0
FOODS_1_198_CA_1_validation,CA_1,2011-03-31,0,0.0,1.0,3,3,0,0.14285714285714285,0.3779644730092273,0.8507462686567163,0.0
FOODS_1_201_CA_1_validation,CA_1,2011-03-31,3,3.0,4.0,3,3,0,3.142857142857143,1.7728105208558365,0.8928571428571428,0.0
FOODS_1_203_CA_1_validation,CA_1,2011-03-31,0,1.0,0.0,3,3,0,0.42857142857142855,0.7867957924694432,0.8928571428571428,0.0
FOODS_1_206_CA_1_validation,CA_1,2011-03-31,2,1.0,0.0,3,3,0,3.5714285714285716,1.51185789203691,0.6929824561403509,0.0
FOODS_1_207_CA_1_validation,CA_1,2011-03-31,0,6.0,0.0,3,3,0,2.142857142857143,2.1157009420498154,0.9397590361445783,0.0
FOODS_1_209_CA_1_validation,CA_1,2011-03-31,2,0.0,4.0,3,3,0,1.0,0.816496580927726,0.9596774193548386,0.0
FOODS_1_213_CA_1_validation,CA_1,2011-03-31,0,1.0,2.0,3,3,0,0.8571428571428571,0.899735410842437,1.0,0.0
FOODS_1_216_CA_1_validation,CA_1,2011-03-31,0,2.0,0.0,3,3,0,0.42857142857142855,0.7867957924694431,0.9734848484848484,0.0
FOODS_1_217_CA_1_validation,CA_1,2011-03-31,5,0.0,4.0,3,3,0,1.7142857142857142,1.2535663410560167,0.8305084745762712,0.0
FOODS_1_218_CA_1_validation,CA_1,2011-03-31,0,0.0,24.0,3,3,0,0.14285714285714285,0.37796447300923364,1.0,0.0
FOODS_1_219_CA_1_validation,CA_1,2011-03-31,4,1.0,3.0,3,3,0,3.0,2.5166114784235827,0.8928571428571428,0.0
FOODS_2_001_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,1.5714285714285714,1.618347187425374,0.8277310924369748,0.0
FOODS_2_003_CA_1_validation,CA_1,2011-03-31,4,1.0,2.0,3,3,0,0.5714285714285714,0.5345224838248515,0.868421052631579,0.0
FOODS_2_005_CA_1_validation,CA_1,2011-03-31,0,2.0,2.0,3,3,0,0.42857142857142855,0.7867957924694438,0.8578680203045685,0.0
FOODS_2_009_CA_1_validation,CA_1,2011-03-31,0,3.0,0.0,3,3,0,2.142857142857143,1.0690449676496974,1.0,0.0
FOODS_2_010_CA_1_validation,CA_1,2011-03-31,2,0.0,0.0,3,3,0,1.4285714285714286,2.14919697074224,0.9612403100775193,0.0
FOODS_2_011_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.42857142857142855,0.5345224838248486,1.0,0.0
FOODS_2_012_CA_1_validation,CA_1,2011-03-31,1,0.0,1.0,3,3,0,0.5714285714285714,0.5345224838248487,1.0,0.0
FOODS_2_013_CA_1_validation,CA_1,2011-03-31,2,0.0,8.0,3,3,0,3.2857142857142856,2.7516228977511745,0.8834080717488789,0.0
FOODS_2_014_CA_1_validation,CA_1,2011-03-31,5,0.0,2.0,3,3,0,1.7142857142857142,1.9760470401187071,0.9324324324324323,0.0
FOODS_2_018_CA_1_validation,CA_1,2011-03-31,1,0.0,1.0,3,3,0,0.14285714285714285,0.37796447300922664,0.9344042838018742,0.0
FOODS_2_019_CA_1_validation,CA_1,2011-03-31,9,2.0,7.0,3,3,0,5.0,8.306623862918082,0.8713450292397661,0.0
FOODS_2_020_CA_1_validation,CA_1,2011-03-31,0,1.0,0.0,3,3,0,1.5714285714285714,2.63673679998231,0.9018181818181819,0.0
FOODS_2_021_CA_1_validation,CA_1,2011-03-31,0,8.0,10.0,3,3,0,10.428571428571429,5.883795341363221,0.653061224489796,0.0
FOODS_2_022_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.9344042838018742,0.0
FOODS_2_024_CA_1_validation,CA_1,2011-03-31,1,2.0,1.0,3,3,0,2.2857142857142856,1.4960264830861887,0.9689922480620154,0.0
FOODS_2_025_CA_1_validation,CA_1,2011-03-31,0,0.0,2.0,3,3,0,0.5714285714285714,0.7867957924694434,0.934010152284264,0.0
FOODS_2_026_CA_1_validation,CA_1,2011-03-31,3,5.0,0.0,3,3,0,2.4285714285714284,2.5727509827124,0.9919354838709677,0.0
FOODS_2_029_CA_1_validation,CA_1,2011-03-31,1,9.0,0.0,3,3,0,4.142857142857143,2.340126166724878,0.9740034662045062,0.0
FOODS_2_030_CA_1_validation,CA_1,2011-03-31,0,0.0,3.0,3,3,0,3.0,2.5819888974716116,0.8261718750000001,0.0
FOODS_2_034_CA_1_validation,CA_1,2011-03-31,1,1.0,0.0,3,3,0,1.5714285714285714,1.7182493859684496,0.9018181818181819,0.0
FOODS_2_036_CA_1_validation,CA_1,2011-03-31,5,2.0,9.0,3,3,0,1.2857142857142858,0.9511897312113475,0.9364705882352942,0.0
FOODS_2_037_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.2857142857142857,0.48795003647426677,0.8571428571428571,0.0
FOODS_2_038_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.5714285714285714,0.5345224838248489,0.9671052631578947,0.0
FOODS_2_041_CA_1_validation,CA_1,2011-03-31,1,0.0,2.0,3,3,0,0.7142857142857143,0.7559289460184545,0.8165829145728644,0.0
FOODS_2_042_CA_1_validation,CA_1,2011-03-31,1,1.0,2.0,3,3,0,1.1428571428571428,1.4638501094227994,1.0,0.0
FOODS_2_043_CA_1_validation,CA_1,2011-03-31,2,0.0,0.0,3,3,0,1.7142857142857142,2.751622897751175,1.0,0.0
FOODS_2_044_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,1.1428571428571428,1.7728105208558365,0.8322147651006712,0.0
FOODS_2_047_CA_1_validation,CA_1,2011-03-31,2,0.0,4.0,3,3,0,2.5714285714285716,2.8199966227605597,0.8961038961038961,0.0
FOODS_2_049_CA_1_validation,CA_1,2011-03-31,0,0.0,1.0,3,3,0,0.0,0.0,0.9664429530201342,0.0
FOODS_2_051_CA_1_validation,CA_1,2011-03-31,0,1.0,2.0,3,3,0,1.2857142857142858,1.3801311186847085,0.9689922480620154,0.0
FOODS_2_052_CA_1_validation,CA_1,2011-03-31,0,4.0,4.0,3,3,0,1.7142857142857142,1.253566341056018,0.8426323319027181,0.0
FOODS_2_053_CA_1_validation,CA_1,2011-03-31,0,1.0,2.0,3,3,0,1.4285714285714286,0.9759000729485331,1.0,0.0
FOODS_2_054_CA_1_validation,CA_1,2011-03-31,0,3.0,5.0,3,3,0,4.285714285714286,3.545621041711673,0.7676767676767675,0.0
FOODS_2_056_CA_1_validation,CA_1,2011-03-31,0,0.0,3.0,3,3,0,0.0,0.0,0.9344042838018742,0.0
FOODS_2_058_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.8276515151515151,0.0
FOODS_2_059_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.9447077409162717,0.0
FOODS_2_060_CA_1_validation,CA_1,2011-03-31,2,2.0,1.0,3,3,0,2.7142857142857144,1.799470821684875,0.8571428571428571,0.0
FOODS_2_061_CA_1_validation,CA_1,2011-03-31,0,2.0,4.0,3,3,0,1.4285714285714286,1.2724180205607032,0.8867924528301886,0.0
FOODS_2_062_CA_1_validation,CA_1,2011-03-31,3,3.0,0.0,3,3,0,0.42857142857142855,1.1338934190276817,0.8596187175043328,0.0
FOODS_2_063_CA_1_validation,CA_1,2011-03-31,2,0.0,2.0,3,3,0,1.1428571428571428,1.214985792587907,0.8961038961038961,0.0
FOODS_2_064_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.8571428571428571,1.0690449676496976,0.9393939393939393,0.0
FOODS_2_065_CA_1_validation,CA_1,2011-03-31,1,0.0,4.0,3,3,0,1.1428571428571428,0.8997354108424371,1.0,0.0
FOODS_2_066_CA_1_validation,CA_1,2011-03-31,0,1.0,1.0,3,3,0,0.42857142857142855,0.5345224838248482,0.866220735785953,0.0
FOODS_2_067_CA_1_validation,CA_1,2011-03-31,3,1.0,0.0,3,3,0,1.7142857142857142,0.9511897312113413,1.0,0.0
FOODS_2_068_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.7142857142857143,0.951189731211342,0.8571428571428571,0.0
FOODS_2_072_CA_1_validation,CA_1,2011-03-31,2,2.0,0.0,3,3,0,0.5714285714285714,0.7867957924694426,1.0,0.0
FOODS_2_076_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.8550592525068369,0.0
FOODS_2_079_CA_1_validation,CA_1,2011-03-31,0,1.0,0.0,3,3,0,0.7142857142857143,1.1126972805283735,0.934010152284264,0.0
FOODS_2_080_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.8571428571428571,0.8997354108424372,1.0,0.0
FOODS_2_081_CA_1_validation,CA_1,2011-03-31,3,2.0,0.0,3,3,0,2.4285714285714284,2.370453040886408,0.9847328244274809,0.0
FOODS_2_082_CA_1_validation,CA_1,2011-03-31,2,1.0,3.0,3,3,0,2.142857142857143,2.410295378065479,0.9447077409162717,0.0
FOODS_2_083_CA_1_validation,CA_1,2011-03-31,2,1.0,1.0,3,3,0,2.0,2.0,1.0,0.0
FOODS_2_085_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.42857142857142855,0.5345224838248488,0.8541666666666666,0.0
FOODS_2_086_CA_1_validation,CA_1,2011-03-31,0,0.0,2.0,3,3,0,0.0,0.0,0.9664429530201342,0.0
FOODS_2_087_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.8550592525068369,0.0
FOODS_2_088_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.0,0.0,0.7590361445783133,0.0
FOODS_2_092_CA_1_validation,CA_1,2011-03-31,1,4.0,1.0,3,3,0,1.8571428571428572,1.7728105208558365,0.9364705882352942,0.0
FOODS_2_093_CA_1_validation,CA_1,2011-03-31,2,0.0,0.0,3,3,0,0.7142857142857143,0.7559289460184544,0.9689922480620154,0.0
FOODS_2_100_CA_1_validation,CA_1,2011-03-31,0,1.0,0.0,3,3,0,2.0,2.0,0.8322147651006712,0.0
FOODS_2_101_CA_1_validation,CA_1,2011-03-31,1,3.0,1.0,3,3,0,1.8571428571428572,1.3451854182690988,0.9447077409162717,0.0
FOODS_2_103_CA_1_validation,CA_1,2011-03-31,2,1.0,0.0,3,3,0,1.2857142857142858,1.6035674514745462,0.9344042838018742,0.0
FOODS_2_104_CA_1_validation,CA_1,2011-03-31,2,1.0,2.0,3,3,0,0.5714285714285714,0.5345224838248659,0.8983268983268984,0.0
FOODS_2_107_CA_1_validation,CA_1,2011-03-31,2,0.0,2.0,3,3,0,1.5714285714285714,1.9023794624226835,0.9252336448598131,0.0
FOODS_2_116_CA_1_validation,CA_1,2011-03-31,2,5.0,1.0,3,3,0,3.857142857142857,1.772810520855837,0.99,0.0
FOODS_2_118_CA_1_validation,CA_1,2011-03-31,0,0.0,1.0,3,3,0,0.2857142857142857,0.4879500364742666,0.9085365853658537,0.0
FOODS_2_119_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.9664429530201342,0.0
FOODS_2_126_CA_1_validation,CA_1,2011-03-31,0,0.0,1.0,3,3,0,0.0,0.0,0.8155737704918032,0.0
FOODS_2_127_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.14285714285714285,0.37796447300922725,0.9330655957161981,0.0
FOODS_2_128_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.0,0.0,0.653061224489796,0.0
FOODS_2_133_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,0.2857142857142857,0.4879500364742666,1.0,0.0
FOODS_2_134_CA_1_validation,CA_1,2011-03-31,2,0.0,1.0,3,3,0,1.5714285714285714,1.2724180205607034,0.9174311926605504,0.0
FOODS_2_135_CA_1_validation,CA_1,2011-03-31,0,0.0,0.0,3,3,0,1.5714285714285714,1.6183471874253734,0.9919354838709677,0.0
FOODS_2_137_CA_1_validation,CA_1,2011-03-31,1,0.0,0.0,3,3,0,0.2857142857142857,0.487950036474267,0.8322147651006712,0.0
FOODS_2_138_CA_1_validation,CA_1,2011-03-31,2,5.0,2.0,3,3,0,1.8571428571428572,1.6761634196950523,0.9081632653061225,0.0
FOODS_2_139_CA_1_validation,CA_1,2011-03-31,1,1.0,5.0,3,3,0,3.2857142857142856,1.7994708216848745,0.9174311926605504,0.0
